task,logdir,ckpt,episode,seed,dist_window,dist_stride,vta_boundary_force_scale,boundary_rate,read_prob_mean,read_prob_p99,abs_kl_mean,abs_kl_std,obs_kl_mean,obs_kl_std,abs_l2_mean,obs_l2_mean,abs_stoch_l2_mean,obs_stoch_l2_mean,abs_l2_read_mean,obs_l2_read_mean,abs_stoch_l2_read_mean,obs_stoch_l2_read_mean
atari_krull,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/checkpoints/step-000068750.pt,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,0,20,5,0.0,0.006407170104810933,0.006428328342735767,2.317692526787596e-08,395.4447021484375,160.38186645507812,38.62240219116211,46.74574661254883,1.7822996377944946,8.13794994354248,0.04193703085184097,8.529472351074219,6.238488674163818,9.167155265808105,6.583138465881348,9.364911079406738
atari_krull,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/checkpoints/step-000075000.pt,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,0,20,5,0.0,0.006333098774119477,0.006301173474639654,2.0733826033847436e-07,435.7269592285156,190.24977111816406,45.64804458618164,57.602630615234375,1.7783434391021729,7.964731693267822,0.040990523993968964,8.30563735961914,6.185916900634766,8.962882041931152,6.510259628295898,9.128528594970703
atari_krull,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/checkpoints/step-000081250.pt,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,0,20,5,0.0,0.0066293840968853004,0.00662471866235137,8.457188869215315e-07,491.329833984375,198.07687377929688,47.12528610229492,53.7769775390625,1.8441907167434692,7.754164695739746,0.04474121704697609,8.086525917053223,6.455089569091797,9.365856170654297,6.786589622497559,9.520941734313965
atari_krull,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/checkpoints/step-000087500.pt,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,0,20,5,0.0,0.0060368134513536535,0.0060435449704527855,4.315769963625371e-09,463.8991394042969,203.90972900390625,47.35601043701172,48.113258361816406,1.7087911367416382,7.643139839172363,0.037983350455760956,7.967201232910156,6.242754936218262,9.186527252197266,6.3305583000183105,9.311689376831055
atari_krull,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/checkpoints/step-000093750.pt,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,0,20,5,0.0,0.0062219917780822935,0.006235170178115368,1.4856470498259e-09,539.4392700195312,224.13760375976562,41.97429275512695,42.74329376220703,1.753432273864746,7.685194969177246,0.040979307144880295,8.045170783996582,6.422567367553711,9.337013244628906,6.625396251678467,9.471397399902344
atari_krull,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/checkpoints/step-000100000.pt,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,0,20,5,0.0,0.0071108477463797636,0.007048529572784901,6.327499413316673e-09,722.2239379882812,280.6322326660156,40.35833740234375,44.10305404663086,1.8238908052444458,7.824343681335449,0.0485517717897892,8.174123764038086,6.399658679962158,9.19793701171875,6.863339900970459,9.33286190032959
atari_krull,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/latest.pt,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed0/eval_eps/20260208T112218-d487738a3d2d4e52912f19c8b084e1d0-27001.npz,0,20,5,0.0,0.006740491092922484,0.0067460015416145325,4.339358039562313e-10,708.2139282226562,260.7872314453125,42.378562927246094,46.86379623413086,1.7665462493896484,7.689416885375977,0.0453667938709259,8.030948638916016,6.387591361999512,9.159771919250488,6.767422199249268,9.289531707763672
atari_krull,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed1,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed1/checkpoints/step-000006250.pt,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed1/eval_eps/20260208T200846-57b9437deec64d839061bf3c96e40c3b-21459.npz,0,20,5,0.0,0.0025630271680879817,0.003357517998665571,0.027980046346783638,264.0296630859375,135.04908752441406,98.78099060058594,67.9331283569336,0.9656269550323486,3.8093128204345703,0.008753676898777485,4.556178092956543,5.362542152404785,8.064286231994629,3.478452444076538,8.564495086669922
atari_krull,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed1,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed1/checkpoints/step-000012500.pt,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed1/eval_eps/20260208T200846-57b9437deec64d839061bf3c96e40c3b-21459.npz,0,20,5,0.0,0.004520247914627895,0.004939094185829163,0.0017614783719182014,206.45977783203125,93.54924774169922,30.67208480834961,31.40690040588379,1.0347621440887451,8.535922050476074,0.018626071512699127,9.41451358795166,5.221961498260498,11.883124351501465,4.1633148193359375,12.307090759277344
atari_krull,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed1,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed1/checkpoints/step-000018750.pt,logs/models/from_scratch_atari_krull_vta_3seed_to_400000_20260208_112207/atari_krull_seed1/eval_eps/20260208T200846-57b9437deec64d839061bf3c96e40c3b-21459.npz,0,20,5,0.0,0.0053590568060021436,0.005312734749168158,6.267621938604861e-05,308.83905029296875,113.88753509521484,41.62320327758789,40.849647521972656,1.2268962860107422,9.977940559387207,0.028366118669509888,10.650933265686035,5.697242259979248,10.694138526916504,5.339300632476807,11.033705711364746
