ckpt,step,abs_l2_mean,abs_stoch_l2_mean,abs_l2_read_mean,abs_stoch_l2_read_mean,boundary_rate,read_prob_mean
init_latest,408416,0.5678420662879944,0.0017309471732005477,4.734679222106934,2.7491512298583984,0.000629606310877375,0.000616587873082608
step-000106250,425000,0.5552068948745728,0.0010605272836983204,4.060470104217529,3.579279899597168,0.0002962853227658235,0.00029347199597395957
step-000112500,450000,0.5569698810577393,0.006791782099753618,4.324877738952637,2.1077942848205566,0.0032221028850783306,0.003195313038304448
step-000118750,475000,0.5778005123138428,0.004738915711641312,4.783720016479492,2.063721179962158,0.002296211251435132,0.002299194224178791
step-000125000,500000,0.5843174457550049,0.004227297846227884,4.777982234954834,2.282740831375122,0.0018517832672863969,0.0019342056475579739
latest,500980,0.5624058246612549,0.004228776786476374,4.495871067047119,2.1957108974456787,0.0019258545979778526,0.0019076898461207747
