ckpt_name,train_step_internal,train_step_env,boundary_rate,read_prob_mean,abs_kl_mean,obs_kl_mean,abs_l2_mean,abs_stoch_l2_mean,abs_l2_read_mean,abs_stoch_l2_read_mean
step-000006250.pt,6250,25000,0.005065856129685917,0.005115211475640535,114.18153381347656,26.393417358398438,0.6188610792160034,0.020493870601058006,4.092798233032227,4.492712020874023
step-000012500.pt,12500,50000,0.004559270516717325,0.004592410288751125,366.5384521484375,16.531518936157227,1.536030650138855,0.025884583592414856,6.187110424041748,6.383785247802734
step-000018750.pt,18750,75000,0.004052684903748734,0.004072003997862339,292.1788330078125,17.399059295654297,2.106222152709961,0.025007201358675957,6.574429512023926,7.048458099365234
step-000025000.pt,25000,100000,0.004559270516717325,0.0045603178441524506,388.2044677734375,19.68054962158203,2.339378833770752,0.027393579483032227,6.400719165802002,6.755941390991211
step-000031250.pt,31250,125000,0.004559270516717325,0.004560286644846201,241.744140625,21.48956298828125,2.3741254806518555,0.027995670214295387,6.552111625671387,6.90443229675293
step-000037500.pt,37500,150000,0.004559270516717325,0.004561672452837229,363.7744140625,22.58670997619629,2.264401912689209,0.026729879900813103,6.242841720581055,6.592256546020508
step-000043750.pt,43750,175000,0.004052684903748734,0.004052686970680952,291.10174560546875,23.442819595336914,2.3565804958343506,0.024286819621920586,6.586093425750732,6.845414161682129
step-000050000.pt,50000,200000,0.004052684903748734,0.004052786156535149,299.625244140625,24.538068771362305,2.410102605819702,0.0254994984716177,6.91190767288208,7.187215328216553
step-000056250.pt,56250,225000,0.004559270516717325,0.004559271037578583,331.31109619140625,26.035350799560547,2.4228057861328125,0.02775207906961441,6.6301679611206055,6.844356536865234
step-000062500.pt,62500,250000,0.004052684903748734,0.004052894655615091,278.9555358886719,23.748445510864258,2.5462591648101807,0.025727231055498123,7.185459613800049,7.25140380859375
step-000068750.pt,68750,275000,0.004052684903748734,0.0040526860393583775,292.4263000488281,23.037229537963867,2.5851616859436035,0.027025431394577026,7.503861427307129,7.617310047149658
step-000075000.pt,75000,300000,0.004052684903748734,0.004052836447954178,277.8534240722656,23.44657325744629,2.6528160572052,0.02744605392217636,7.661721706390381,7.735866546630859
step-000081250.pt,81250,325000,0.004052684903748734,0.0040526920929551125,266.8884582519531,24.1956844329834,2.6968488693237305,0.027651434764266014,7.687783241271973,7.793754577636719
step-000087500.pt,87500,350000,0.004052684903748734,0.00405268557369709,214.47686767578125,22.14446449279785,2.596426248550415,0.027581030502915382,7.576653003692627,7.7739105224609375
step-000093750.pt,93750,375000,0.004052684903748734,0.004052694421261549,264.3388366699219,23.27940559387207,2.6169912815093994,0.02780662290751934,7.691158771514893,7.83749532699585
latest.pt,100000,400000,0.004052684903748734,0.004052685108035803,340.1531677246094,23.007606506347656,2.654019594192505,0.02836071513593197,7.836411476135254,7.99367094039917
step-000100000.pt,100000,400000,0.004052684903748734,0.004052687902003527,307.0846252441406,22.435367584228516,2.72367000579834,0.02892570197582245,7.966246128082275,8.152915954589844
