ckpt_name,train_step_env,window_count,abs_stoch_l2_window_mean,abs_stoch_l2_window_median,abs_stoch_l2_window_p90,abs_stoch_l2_window_max,abs_l2_window_mean,abs_l2_window_median,boundary_rate_window_mean
step-000006250.pt,25000,391,0.018448097607516267,0.0,0.0,0.5191400051116943,0.6191679328951575,0.6540478467941284,0.0040920716112531974
step-000012500.pt,50000,391,0.022289363014728517,0.0,0.0,0.4425020217895508,1.5393616087506037,1.8898712396621704,0.003580562659846548
step-000018750.pt,75000,391,0.020830281097870655,0.0,0.0,0.4105342924594879,2.1112504854579184,2.675055980682373,0.0030690537084398983
step-000025000.pt,100000,391,0.023210088615222356,0.0,0.0,0.5332051515579224,2.345250335471976,2.887310266494751,0.003580562659846548
step-000031250.pt,125000,391,0.02355402235484794,0.0,0.0,0.5591908693313599,2.379615378768548,2.9103362560272217,0.003580562659846548
step-000037500.pt,150000,391,0.022411376771414675,0.0,0.0,0.5463331341743469,2.269121294698256,2.749314785003662,0.003580562659846548
step-000043750.pt,175000,391,0.01985000161563649,0.0,0.0,0.6125739812850952,2.3620634675883423,2.866271734237671,0.0030690537084398983
step-000050000.pt,200000,391,0.02077263822336026,0.0,0.0,0.6626355051994324,2.4158269894140227,2.972654342651367,0.0030690537084398983
step-000056250.pt,225000,391,0.023202543368424904,0.0,0.0,0.5432296395301819,2.428742289543152,2.9222962856292725,0.003580562659846548
step-000062500.pt,250000,391,0.021169666743949246,0.0,0.0,0.6849549412727356,2.552885434230613,3.1104297637939453,0.0030690537084398983
step-000068750.pt,275000,391,0.022315782811635595,0.0,0.0,0.7392279505729675,2.5919057599094977,3.1857516765594482,0.0030690537084398983
step-000075000.pt,300000,391,0.022848385831584102,0.0,0.0,0.7694646120071411,2.660019913526333,3.254225969314575,0.0030690537084398983
step-000081250.pt,325000,391,0.023009141082958796,0.0,0.0,0.7599297165870667,2.7041371214915726,3.3011467456817627,0.0030690537084398983
step-000087500.pt,350000,391,0.022993529849040233,0.0,0.0,0.7699857950210571,2.6034905077017787,3.1096365451812744,0.0030690537084398983
step-000093750.pt,375000,391,0.023108056286716704,0.0,0.0,0.7675859332084656,2.6236871386856757,3.086688995361328,0.0030690537084398983
latest.pt,400000,391,0.02358827627528354,0.0,0.0,0.7933027148246765,2.661238817636238,3.173095226287842,0.0030690537084398983
step-000100000.pt,400000,391,0.024071553479070248,0.0,0.0,0.7993864417076111,2.731077214655326,3.285377025604248,0.0030690537084398983
