logdir,task,ckpt,episode,t,abs_kl
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,163,47.12565612792969
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,164,47.284828186035156
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,165,46.698509216308594
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,166,50.82545852661133
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,167,50.771339416503906
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,168,50.36988067626953
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,169,50.36988067626953
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,170,45.996131896972656
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,171,49.33867263793945
/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758,atari_private,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/latest.pt,/home/haselab/murakawa/stable-deep-world-model/logdir/atari_private_eye_vta_20260108_185758/train_eps/20260109T132052-aea21edf924748b7af34daa02366cf5f-2699.npz,172,47.76973342895508
